PROPERTY_ID,ESTIMATED_VALUE,fundamental_price_per_share
4111190226408111999,1156227.0,115622.7
-9215308295114719187,1127727.0,112772.7
6557802472859277868,804834.0,80483.4
-1266847334670540195,2651657.0,265165.7
2714414837550763623,1320163.0,132016.3
-1869115282578351499,1323265.0,132326.5
5607864022516246540,860235.0,86023.5
-992741105080461428,890146.0,89014.6
-8862690596078235217,866834.0,86683.4
8301762579398914535,811406.0,81140.6
-1084091314688742513,775561.0,77556.1
1374185482411826227,1079521.0,107952.1
4462013482116015118,893235.0,89323.5
4060062132695779645,1111314.0,111131.4
9004054215468564888,1645072.0,164507.2
-1192620038397934329,1030878.0,103087.8
-3292701340398773392,1275644.0,127564.4
-4613318972378545147,1075938.0,107593.8
5700040541860768932,1236419.0,123641.9
-2034667434188739404,1050100.0,105010.0
4518181905105894039,1132346.0,113234.6
-5268904233394897868,1304598.0,130459.8
7166459983633904874,2145466.0,214546.6
3924750237690333403,1513443.0,151344.3
-7160364898417515027,4814179.0,481417.9
-8666871738039085224,1711485.0,171148.5
-9060839914379621963,1169412.0,116941.2
9048504446514960999,1690607.0,169060.7
1688996896301684584,757482.0,75748.2
-6817056965724502199,1074301.0,107430.1
8174736620118941184,1962867.0,196286.7
-3172963013202612231,1892085.0,189208.5
-6362118611531340859,1888978.0,188897.8
-6647630291237709079,3702609.0,370260.9
4111782727948262330,1655706.0,165570.6
-6431576468101594597,827502.0,82750.2
-3007762000555674752,2169170.0,216917.0
651724417037501372,2213558.0,221355.8
6825120051789209009,1909421.0,190942.1
-7882958039124628111,1370568.0,137056.8
-8861758112463129375,1307241.0,130724.1
-5515232526262770731,2594710.0,259471.0
7131296675366188395,453485.0,45348.5
568104214176133709,1230421.0,123042.1
9118605781212340221,1629584.0,162958.4
7932982714852952984,1402210.0,140221.0
2861667720322896262,1697058.0,169705.8
2547982594644342621,1577626.0,157762.6
7757601539145238933,1083857.0,108385.7
-1130639545155700756,1312218.0,131221.8
-6329032153841175665,1393056.0,139305.6
